248 / 10000: [ 0, 1, 0, 0, 0 ], [ 0, 147, 17, 1 ]
249 / 10000: [ 0, 1, 1, 0, 0 ], [ 0, 147, 18, 1 ]
250 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 148, 18, 1 ]
251 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 149, 18, 1 ]
252 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 150, 18, 1 ]
253 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 151, 18, 1 ]
254 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 152, 18, 1 ]
255 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 153, 18, 1 ]
256 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 154, 18, 1 ]
257 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 155, 18, 1 ]
258 / 10000: [ 0, 1, 0, 0, 0 ], [ 0, 155, 18, 1 ]
259 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 156, 18, 1 ]
260 / 10000: [ 0, 1, 0, 1, 0 ], [ 0, 156, 18, 2 ]
261 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 157, 18, 2 ]
262 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 158, 18, 2 ]
263 / 10000: [ 0, 0, 0, 0, 0 ], [ 0, 158, 18, 2 ]
264 / 10000: [ 0, 1, 0, 0, 0 ], [ 0, 158, 18, 2 ]
265 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 159, 18, 2 ]
266 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 160, 18, 2 ]
267 / 10000: [ 0, 1, 0, 0, 0 ], [ 0, 160, 18, 2 ]
268 / 10000: [ 0, 1, 0, 0, 0 ], [ 0, 160, 18, 2 ]
269 / 10000: [ 0, 1, 1, 0, 0 ], [ 0, 160, 19, 2 ]
270 / 10000: [ 0, 0, 0, 0, 0 ], [ 0, 160, 19, 2 ]
271 / 10000: [ 0, 1, 0, 0, 0 ], [ 0, 160, 19, 2 ]
272 / 10000: [ 0, 0, 0, 0, 0 ], [ 0, 160, 19, 2 ]
